Name,Category,Type,Price Range,Rating,No of Reviews,Description,Address,Latitude,Longitude
SRV,Dining,Italian,$$$,4.6,511, Buzzy den of Italian small plates & wine,569 Columbus Ave  ,42.341007,-71.081641
Boston Burger Co Boylston,Dining,American,$$,4.5,1581, Gourmet patties with creative toppings,1100 Boylston St  ,42.346859,-71.088507
Toro Boston,Dining,Spanish,$$$,4.6,1014," Chic hot spot for tapas, wine & drinks",1704 Washington St  ,42.336954,-71.075882
Pho Basil,Dining,Vietnamese,$,4.5,1005, No frills Thai & Vietnamese dining,177 Massachusetts Ave A  ,42.345787,-71.087341
The Capital Grille,Dining,Fine Dining,$$$$,4.6,585, Upscale chophouse chain with clubby look,"Hynes Convention Center, 900 Boylston St  ",42.370567,-71.026964
Select Oyster Bar,Dining,Seafood,$$$,4.5,380," Snug, cool spot for bivalves & Med fare",50 Gloucester St  ,42.348637,-71.084071
Saltie Girl,Dining,Seafood,$$$,4.6,675, Smart Barcelona inspired seafood bar,281 Dartmouth St  ,42.351326,-71.077751
Atlantic Fish Co,Dining,Seafood,$$$,4.5,1602," Acclaimed, upscale seafood restaurant",761 Boylston St  ,42.349367,-71.081211
The Cheesecake Factory,Dining,Restaurant,$$,4.2,2627, American dining chain with jumbo plates,115 Huntington Ave  ,42.346877,-71.080891
Five Guys,Dining,Fast Food,$$,4.3,634, Fast food burger & fries chain,263 Huntington Ave  ,42.342267,-71.086141
Sorellina,Dining,Italian,$$$$,4.5,330, Chic spot for elevated Italian cuisine,1 Huntington Ave  ,42.348801,-71.078011
Ginger Exchange Symphony,Dining,Asian,$$,4.2,297, Stylish venue for classic Pan Asian fare,250 Huntington Ave  ,42.342217,-71.085031
The Friendly Toast Restaurant,Dining,Breakfast,$$,4.6,2162, Retro breakfast through late night joint,35 Stanhope St  ,42.348542,-71.073253
Hojoko,Dining,Japanese,$$$,4.4,467, Upbeat Japanese tavern in Verb Hotel,1271 Boylston St  ,42.345217,-71.096761
Asta,Dining,New American,$$$,4.5,91, Choice New American tasting menu dinners,47 Massachusetts Ave  ,42.349836,-71.089271
Summer Shack,Dining,Seafood,$$,4.3,935, Easygoing raw bar & seafood shack,50 Dalton St  ,42.347082,-71.085644
MIDA,Dining,Italian,$$,4.4,252, Intimate haven for modern Italian dining,782 Tremont St  ,42.339007,-71.080511
Uni,Dining,Sushi,$$$$,4.4,281, Omakase menus & creative Asian fare,370A Commonwealth Avenue  ,42.348607,-71.088691
Eataly Boston,Dining,Italian,$$$,4.1,775, Huge Italian dining/marketplace hub,"Prudential Center, 800 Boylston St  ",42.370567,-71.026964
Davio's Northern Italian Steakhouse,Dining,Northern Italian,$$$,4.6,599, Upscale spot for prime cuts & pastas,75 Arlington St  ,42.350697,-71.070361
Terra at Eataly Boston,Dining,Italian,$$$,4,95, Chic wood burning Italian grill & bar,"Prudential Tower, 800 Boylston St floor 3  ",42.370567,-71.026964
Luke's Lobster Back Bay,Dining,Seafood,$$,4.4,943, Counter serve lobster roll specialist,75 Exeter St  ,42.348558,-71.079244
Barcelona Wine Bar,Dining,Spanish,$$,4.6,1072," Cozy, cool spot for Spanish tapas & vino",525 Tremont St  ,42.344861,-71.070986
Lucca Back Bay,Dining,Italian,$$,4.5,277, Refined Italian cuisine & wine list,116 Huntington Ave  ,42.346527,-71.079761
Pho & I House Of Noodle And Rice,Dining,Vietnamese,$$,4.2,324, Quick serve Thai & Vietnamese staples,"4506, 267 Huntington Ave  ",42.342131,-71.086089
Taqueria,Dining,Mexican,$$$,4.6,675, Smart Barcelona inspired seafood bar,15 Westland Ave  ,42.343945,-71.087338
Blaze Pizza,Dining,Pizza,$,4.5,964, Customizable pies in contemporary digs,1282 Boylston St  ,42.344661,-71.096941
Top of the Hub,Dining,American,$$$,4.2,1585, Spectacular views & American fine dining,800 Boylston St  ,42.346277,-71.082801
Tiger Mama,Dining,South East Asian,$$$,4.3,656, Southeast Asian fare in exotic digs,1363 Boylston St  ,42.344586,-71.100657
Fogo de Chão Brazilian Steakhouse,Dining,Brazilian,$$$,4.5,1646, Upmarket Brazilian churrascaria,200 Dartmouth St  ,42.348567,-71.077311
Sonsie,Dining,American,$$,4.1,808, Eclectic plates in a posh setting,327 Newbury St  ,42.348811,-71.086272
Porto,Dining,Mediterranean,$$$,4.2,110, Chic spot for Mediterranean seafood,Ring Rd  ,42.370567,-71.026964
Giacomo's,Dining,Italian,$$,4.4,509, Italian seafood & pasta favorites,431 Columbus Ave  ,42.344091,-71.077813
Mistral,Dining,Mediterranean,$$$,4.6,453, Sophisticated Southern French cuisine,223 Columbus Ave  ,42.348207,-71.072761
Maggiano's Little Italy,Dining,Restaurant,$$,4.4,1840, Chain for family style Italian meals,"Park Square, 4 Columbus Ave  ",42.297219,-71.064882
Picco,Dining,Pizza,$$,4.7,602, Thin crust pizzas & homemade ice cream,513 Tremont St  ,42.344815,-71.070982
Earls Kitchen + Bar,Dining,American,$$,4.2,649, Global comfort dishes & big rooftop bar,800 Boylston St #107  ,42.346277,-71.082801
Thornton's,Dining,Restaurant,$,4.3,613, No nonsense eatery for breakfast & lunch,150 Huntington Ave  ,42.344927,-71.081791
Mumbai Spice,Dining,Indian,$$,3.8,504, Contemporary Indian eatery with a bar,251 Massachusetts Ave  ,42.345247,-71.087131
Boston Shawarma,Dining,Middle Eastern,$,4.5,858, Comfortable spot for Middle Eastern fare,315 Huntington Ave  ,42.341121,-71.087783
Yard House,Dining,New American,$$,4.3,1910, Upscale sports bar with many draft beers,126 Brookline Ave  ,42.345347,-71.100151
Yvonne's,Dining,New American,$$$,4.6,1173, Classy cuisine in a historic space,2 Winter Pl  ,42.355505,-71.061411
Regina Pizzeria,Dining,Pizza,$$,4.3,280, Veteran chain for brick oven pizzas,1330 Boylston St  ,42.343957,-71.098961
Wendy's,Dining,Fast Food,$,4,391, Fast food burger chain,157 A Massachusetts Ave  ,42.346437,-71.087581
Wagamama Prudential Center,Dining,Restaurant,$$,4.1,637, Bustling chain for Japanese cooking,"prudential center, 800 Boylston St  ",42.370567,-71.026964
